Name,Country,Archipelago,Latitude,Longitude,Type,Military,Runway_1,Runway_2,Surface,Class
New Ishigaki Airport,Japan,Ryukyu Islands,24.3957634,124.2455748,Commercial,No,6562,0,Asphalt/Concrete,Class_1
Amami Airport,Japan,Ryukyu Islands,28.4310693,129.7118767,Commercial,No,6562,0,Asphalt/Concrete,Class_1
Tokunoshima Airport,Japan,Ryukyu Islands,27.8322678,128.8829156,Commercial,No,6562,0,Asphalt/Concrete,Class_1
Kumejima Airport,Japan,Ryukyu Islands,26.3649991,126.7170602,Commercial,No,6562,0,Asphalt/Concrete,Class_1
Chuuk International Airport,Micronesia,Caroline Islands,7.4622469,151.8433251,Commercial,No,6006,0,Asphalt,Class_1
Pohnpei Intl Airport,Micronesia,Caroline Islands,6.9853231,158.2090962,Commercial,No,6001,0,Asphalt,Class_1
Yap Intl Airport,Micronesia,Caroline Islands,9.4978375,138.0865812,Commercial,No,6000,0,Asphalt,Class_1
Kosrae Intl Airport,Micronesia,Caroline Islands,5.3529742,162.9562626,Commercial,No,5751,0,Asphalt,Class_1
Iejima Airport,Japan,Ryukyu Islands,26.7236199,127.7855238,General ,No,4921,5000,Asphalt/Concrete,Class_2
Enewetak airstrip,Marshall Islands,Marshall Islands,11.339632,162.3239862,General ,No,7700,0,Asphalt,Class_1
Bugsuk Airfield,Philippines,Palawan Archipelago,8.2296573,117.3306133,General ,No,6940,0,Gravel,Class_1
Abemama Atoll airstrip,Kiribati,Gilbert Islands,0.4907407,173.8310608,General ,No,5200,0,Coral,Class_1
Palmyra Airfield,U.S.,Line Islands,5.888778,-162.077419,General ,No,5000,0,Asphalt,Class_1
Bataraza Airfield,Philippines,Palawan Archipelago,8.672534175,117.6189501,General ,No,4900,0,Gravel,Class_1
Bikini Atoll Airfield,Marshall Islands,Marshall Islands,11.560389,165.5750142,General ,No,4500,0,Asphalt,Class_1
Kili Airfield,Marshall Islands,Marshall Islands,5.6441733,169.1251659,General ,No,4400,0,Coral,Class_1
Cagayan de Sulu Airfield,Philippines,Sulu Archipelago,7.0133518,118.4962498,General ,No,4265,0,Macadam,Class_0
Jaluit Airfield,Marshall Islands,Marshall Islands,5.9092582,169.6372575,General ,No,4000,0,Gravel,Class_0
Rongelap Airport,Marshall Islands,Marshall Islands,11.196236,166.8541375,General ,No,3950,0,Asphalt,Class_0
Tabiteuea Island Airport,Kiribati,Gilbert Islands,-1.2237051,174.7761056,General ,No,3365,0,Coral,Class_0
Agutaya Island Airfield,Philippines,Palawan Archipelago,11.15877364,120.9528798,General ,No,3000,0,Grass,Class_0
Del Pilar Airport,Philippines,Palawan Archipelago,10.3352774,119.3545327,General ,No,2800,0,Concrete,Class_0
Izenajima Auxiliary Airfield,Japan,Ryukyu Islands,26.9368127,127.9169831,General ,No,2000,0,Concrete,Class_0
Kadena Air Base,U.S.,Ryukyu Islands,26.3556897,127.7678754,Commercial,Yes,12100,12100,Asphalt/Concrete,Class_3
Andersen AFB,U.S.,Mariana Islands,13.588225,144.9202077,Commercial,Yes,10527,11200,Asphalt/Concrete,Class_3
Wake Island Airfield,U.S.,Wake Island,19.2811863,166.6447787,General ,Yes,9844,0,Asphalt,Class_2
Penghu Airport,Taiwan,Pescadore Islands,23.564109,119.628184,Commercial,Yes,9843,0,Concrete,Class_2
Subi Reef Airbase,China,Spratly Islands,10.93270466,114.0770489,Commercial,Yes,9800,0,Concrete,Class_2
Fiery Cross Reef Airbase,China,Spratly Islands,9.542635803,112.880172,Commercial,Yes,9600,0,Concrete,Class_2
Johnston Atoll Airbase,U.S.,Johnston Atoll,16.7286219,-169.53339,Air taxi,Yes,9000,0,Asphalt,Class_2
MCAS Futenma,U.S.,Ryukyu Islands,26.2760403,127.7488105,Commercial,Yes,8990,0,Asphalt/Concrete,Class_2
Iwo Jima Airport,Japan,Bonin Islands,24.7850482,141.3251709,Commercial,Yes,8964,0,Asphalt,Class_2
Mischief Reef Airbase,China,Spratly Islands,9.928158741,115.5086013,Commercial,Yes,8900,0,Concrete,Class_2
Yongxing Island Airbase,China,Paracel Islands,16.82906817,112.3386331,Commercial,Yes,8858,0,Asphalt/Concrete,Class_2
Natuna Island Airport,Indonesia,Riau Islands,3.9199561,108.3864367,Commercial,Yes,8700,0,Asphalt,Class_2
