URL,Surface
https://airportdatabase.net/indonesia/naha-airport-nah_26768.html,3
https://airportdatabase.net/indonesia/ranai-airport-ntx_26846.html,3
https://airportdatabase.net/indonesia/tarempa-airport-mwk_26845.html,3
https://airportdatabase.net/japan/aguni-airport-agj_30621.html,3
https://airportdatabase.net/japan/amami-airport-asj_5577.html,3
https://airportdatabase.net/japan/hateruma-airport-htr_31644.html,3
https://airportdatabase.net/japan/ie-jima-airport-iej_5678.html,3
https://airportdatabase.net/japan/ie-shima-auxiliary-air-base_5672.html,3
https://airportdatabase.net/japan/ishigaki-airport-isg_5674.html,3
https://airportdatabase.net/japan/iwo-jima-airport-iwo_5535.html,3
https://airportdatabase.net/japan/kerama-airport-kjp_28139.html,3
https://airportdatabase.net/japan/kikai-airport-kkx_5579.html,3
https://airportdatabase.net/japan/kitadaito-airport-ktd_5679.html,3
https://airportdatabase.net/japan/kumejima-airport-ueo_5675.html,3
https://airportdatabase.net/japan/minami-daito-airport-mmd_5676.html,3
https://airportdatabase.net/japan/minami-torishima-airport-mus_5534.html,3
https://airportdatabase.net/japan/miyako-airport-mmy_5677.html,3
https://airportdatabase.net/japan/naha-airport-oka_5671.html,3
https://airportdatabase.net/japan/okierabu-airport-oke_5578.html,3
https://airportdatabase.net/japan/shimojishima-airport-shi_5680.html,3
https://airportdatabase.net/japan/tarama-airport-tra_5681.html,3
https://airportdatabase.net/japan/tokunoshima-airport-tkn_5580.html,3
https://airportdatabase.net/japan/yonaguni-airport-ogn_5684.html,3
https://airportdatabase.net/japan/yoron-airport-rnj_5682.html,3
https://airportdatabase.net/kiribati/abaiang-airport-abf_30611.html,1
https://airportdatabase.net/kiribati/abemama-atoll-airport-aea_30619.html,1
https://airportdatabase.net/kiribati/arorae-island-airport-ais_30628.html,1
https://airportdatabase.net/kiribati/beru-airport-bez_30696.html,1
https://airportdatabase.net/kiribati/bonriki-international-airport-trw_4972.html,3
https://airportdatabase.net/kiribati/buariki-airport-aak_30607.html,1
https://airportdatabase.net/kiribati/butaritari-atoll-airport-bbg_30681.html,3
https://airportdatabase.net/kiribati/canton-airport-cis_5426.html,3
https://airportdatabase.net/kiribati/cassidy-international-airport-cxi_5493.html,3
https://airportdatabase.net/kiribati/kuria-airport-kuc_31784.html,1
https://airportdatabase.net/kiribati/maiana-airport-mnk_31928.html,2
https://airportdatabase.net/kiribati/makin-island-airport-mtk_31962.html,2
https://airportdatabase.net/kiribati/marakei-airport-mzk_32000.html,2
https://airportdatabase.net/kiribati/nikunau-airport-nig_32029.html,1
https://airportdatabase.net/kiribati/nonouti-airport-non_32043.html,1
https://airportdatabase.net/kiribati/onotoa-airport-oot_32120.html,2
https://airportdatabase.net/kiribati/tabiteuea-north-airport-tbf_4973.html,2
https://airportdatabase.net/kiribati/tabiteuea-south-airport-tsu_32479.html,2
https://airportdatabase.net/kiribati/tabuaeran-island-airport-tnv_32466.html,1
https://airportdatabase.net/kiribati/tamana-island-airport-tmn_32464.html,0
https://airportdatabase.net/china/swallow-reef-airstrip-lac_41316.html,3
https://airportdatabase.net/marshall-islands/ailinglaplap-airport-aip_299328.html,1
https://airportdatabase.net/marshall-islands/ailuk-airport-aim_35201.html,0
https://airportdatabase.net/marshall-islands/aur-island-airport-aul_30661.html,2
https://airportdatabase.net/marshall-islands/bucholz-army-air-field-kwa_5490.html,3
https://airportdatabase.net/marshall-islands/dyess-army-air-field_5489.html,3
https://airportdatabase.net/marshall-islands/ebadon-airport-ebn_30976.html,3
https://airportdatabase.net/marshall-islands/eniwetok-airport-ent_5487.html,3
https://airportdatabase.net/marshall-islands/enyu-airfield-bii_30730.html,3
https://airportdatabase.net/marshall-islands/ine-airport_4655.html,1
https://airportdatabase.net/marshall-islands/jabot-airport-jat_35202.html,1
https://airportdatabase.net/marshall-islands/jaluit-airport-uit_32527.html,1
https://airportdatabase.net/marshall-islands/jeh-airport-jej_35203.html,1
https://airportdatabase.net/marshall-islands/kili-airport-kio_4659.html,1
https://airportdatabase.net/marshall-islands/lae-island-airport-lml_31834.html,0
https://airportdatabase.net/marshall-islands/likiep-airport-lik_35204.html,0
https://airportdatabase.net/marshall-islands/majkin-airport-mje_35205.html,1
https://airportdatabase.net/marshall-islands/maloelap-island-airport-mav_31878.html,0
https://airportdatabase.net/marshall-islands/marshall-islands-international-airport-maj_5488.html,3
https://airportdatabase.net/marshall-islands/mejit-atoll-airport-mjb_31913.html,1
https://airportdatabase.net/marshall-islands/mili-island-airport-mij_31910.html,0
https://airportdatabase.net/marshall-islands/namorik-atoll-airport-ndk_32015.html,1
https://airportdatabase.net/marshall-islands/rongelap-island-airport-rnp_32218.html,3
https://airportdatabase.net/marshall-islands/tinak-airport-tic_32447.html,1
https://airportdatabase.net/marshall-islands/ujae-atoll-airport-uje_32529.html,0
https://airportdatabase.net/marshall-islands/utirik-airport-utk_4650.html,1
https://airportdatabase.net/marshall-islands/woja-airport-wja_35206.html,2
https://airportdatabase.net/marshall-islands/wotho-island-airport-wto_32681.html,0
https://airportdatabase.net/marshall-islands/wotje-atoll-airport-wte_32680.html,0
https://airportdatabase.net/micronesia/chuuk-international-airport-tkk_5499.html,3
https://airportdatabase.net/micronesia/falalop-island-airport-uli_32538.html,3
https://airportdatabase.net/micronesia/kosrae-international-airport-ksa_5502.html,3
https://airportdatabase.net/micronesia/pohnpei-international-airport-pni_5500.html,3
https://airportdatabase.net/micronesia/woleai-atoll-airport_44078.html,2
https://airportdatabase.net/micronesia/yap-international-airport-yap_5503.html,3
https://airportdatabase.net/nauru/nauru-international-airport-inu_8.html,3
https://airportdatabase.net/cook-islands/aitutaki-airport-ait_4957.html,3
https://airportdatabase.net/cook-islands/enua-airport-aiu_30629.html,2
https://airportdatabase.net/cook-islands/mangaia-island-airport-mgs_31900.html,2
https://airportdatabase.net/cook-islands/manihiki-island-airport-mhx_31907.html,1
https://airportdatabase.net/cook-islands/manuae-airport_32011.html,0
https://airportdatabase.net/cook-islands/mauke-airport-muk_31968.html,2
https://airportdatabase.net/cook-islands/mitiaro-island-airport-moi_31933.html,2
https://airportdatabase.net/cook-islands/rarotonga-international-airport-rar_4958.html,3
https://airportdatabase.net/cook-islands/tongareva-airport-pye_32184.html,2
https://airportdatabase.net/niue/niue-international-airport-iue_4974.html,3
https://airportdatabase.net/palau/angaur-airstrip_5504.html,1
https://airportdatabase.net/palau/babelthuap-airport-ror_5501.html,3
https://airportdatabase.net/palau/peleliu-airport_5505.html,1
https://airportdatabase.net/papua-new-guinea/aseki-airport-aek_299319.html,1
https://airportdatabase.net/papua-new-guinea/awaba-airport-awb_42763.html,1
https://airportdatabase.net/papua-new-guinea/baimuru-airport-vmu_35179.html,1
https://airportdatabase.net/papua-new-guinea/balimo-airport-opu_35180.html,2
https://airportdatabase.net/papua-new-guinea/buka-airport-bua_53.html,3
https://airportdatabase.net/papua-new-guinea/bulolo-airport_46171.html,2
https://airportdatabase.net/papua-new-guinea/cape-gloucester-airport_46172.html,3
https://airportdatabase.net/papua-new-guinea/chimbu-airport-cmu_54.html,3
https://airportdatabase.net/papua-new-guinea/daru-airport-dau_55.html,3
https://airportdatabase.net/papua-new-guinea/emirau-airport_46174.html,2
https://airportdatabase.net/papua-new-guinea/finschhafen-airport-fin_46177.html,3
https://airportdatabase.net/papua-new-guinea/gasmata-island-airport-gmi_31542.html,0
https://airportdatabase.net/papua-new-guinea/girua-airport-pnp_58.html,3
https://airportdatabase.net/papua-new-guinea/goroka-airport-gka_56.html,3
https://airportdatabase.net/papua-new-guinea/gurney-airport-gur_57.html,3
https://airportdatabase.net/papua-new-guinea/ihu-airport-ihu_35181.html,1
