GPS_Code,af_name,latitude,longitude,runway_length,freq_count,airline_count,surface
PTKK,Chuuk International Airport,7.461870193,151.8430023,6006,3,3,3
PTSA,Kosrae International Airport,5.356979847,162.9579926,5750,3,3,3
PTPN,Pohnpei International Airport,6.985099792,158.2089996,6001,3,3,3
PTYA,Yap International Airport,9.49890995,138.0829926,6000,3,3,3
ANYN,Nauru International Airport,-0.547457993,166.9190063,7054,3,0,3
NCAI,Aitutaki Airport,-18.83090019,-159.7640076,10475,2,2,3
NCAT,Enua Airport,-19.96780014,-158.1190033,3947,1,0,2
NCMG,Mangaia Island Airport,-21.89598656,-157.906662,3274,0,0,2
NCMH,Manihiki Island Airport,-10.3767004,-161.0019989,3937,0,0,1
NCMK,Mauke Airport,-20.13610077,-157.3450012,4921,0,0,2
NCRG,Rarotonga International Airport,-21.20269966,-159.8059998,7638,5,10,3
NCPY,Tongareva Airport,-9.014369965,-158.0324097,7530,0,0,2
NIUE,Niue International Airport,-19.07903099,-169.9255981,7660,3,0,3
ANG,Angaur Airstrip,6.906829357,134.1453857,7000,0,0,1
PTRO,Babelthuap Airport,7.367650032,134.5440063,7200,2,10,3
C23,Peleliu Airport,7,134.2330017,6000,0,0,1
AYBK,Buka Airport,-5.422319889,154.6730042,5125,2,0,3
AYCH,Chimbu Airport,-6.024290085,144.970993,3330,0,0,3
AYDU,Daru Airport,-9.086759567,143.2079926,4593,2,0,3
AYGR,Girua Airport,-8.80453968,148.3090057,5485,1,2,3
AYGA,Goroka Airport,-6.081689835,145.3919983,9383,2,2,3
AYGN,Gurney Airport,-10.3114996,150.3339996,5546,3,2,3
AYKV,Kavieng Airport,-2.579400063,150.8079987,5592,3,0,3
AYKM,Kerema Airport,-7.963610172,145.7709961,3044,2,0,3
AYHK,Kimbe Airport,-5.462170124,150.4049988,5212,2,2,3
AYKI,Kiunga Airport,-6.125710011,141.2819977,3691,1,2,2
AYNZ,Lae Nadzab Airport,-6.569829941,146.7259979,8004,6,2,3
AYKA,Losuia Airport,-8.505820274,151.0809937,5348,0,0,1
AYMD,Madang Airport,-5.207079887,145.7890015,5174,5,2,3
AYMN,Mendi Airport,-6.147739887,143.6569977,4411,0,0,3
AYMS,Misima Island Airport,-10.6892004,152.8379974,3937,0,0,0
AYMO,Momote Airport,-2.061889887,147.423996,6136,3,0,2
AYMR,Moro Airport,-6.363329887,143.2380066,5774,1,2,2
AYMH,Mount Hagen Kagamuga Airport,-5.826789856,144.2960052,10784,3,2,3
AYPY,Port Moresby Jacksons International Airport,-9.443380356,147.2200012,15799,8,7,3
AYTB,Tabubil Airport,-5.278610229,141.2259979,4232,1,2,2
AYTA,Tari Airport,-5.84499979,142.947998,5197,0,0,2
AYTK,Tokua Airport,-4.340459824,152.3800049,5643,5,2,3
AYVN,Vanimo Airport,-2.697170019,141.302002,5775,2,0,3
AYWD,Wapenamanda Airport,-5.643300056,143.8950043,5052,0,0,3
AYWK,Wewak International Airport,-3.583830118,143.6690063,5234,5,2,3
RPMA,Allah Valley Airport,6.366819859,124.7509995,4396,0,0,3
RPMC,Awang Airport,7.165239811,124.2099991,6234,3,3,3
RPVB,Bacolod-Silay City International Airport,10.77639961,123.0149994,0,2,4,3
RPUZ,Bagabag Airport,16.61919975,121.2519989,3937,2,0,3
RPME,Bancasi Airport,8.951319695,125.4779968,6450,2,2,3
RPUF,Basa Air Base,14.98649979,120.4929962,8433,2,0,3
RPUO,Basco Airport,20.45129967,121.9800034,4101,3,0,3
RPMF,Bislig Airport,8.195949554,126.3219986,3937,0,0,3
RPVW,Borongan Airport,11.67430019,125.4789963,3935,0,0,3
RPVC,Calbayog Airport,12.07269955,124.5449982,4843,0,4,3
RPMH,Camiguin Airport,9.253520012,124.7070007,3945,0,0,3
RPVF,Catarman National Airport,12.5024004,124.6360016,4429,1,4,3
RPUY,Cauayan Airport,16.92989922,121.7529984,6890,2,0,3
RPUD,Daet Airport,14.12919998,122.9800034,3773,1,0,3
RPVA,Daniel Z. Romualdez Airport,11.2276001,125.0279999,7014,3,4,3
RPLC,Diosdado Macapagal International Airport,15.18599987,120.5599976,20998,7,7,3
RPMG,Dipolog Airport,8.60198307,123.3418732,6273,2,2,3
RPUR,Dr.Juan C. Angara Airport,15.72980022,121.5,3937,0,0,3
RPVS,Evelio Javier Airport,10.76599979,121.9329987,3937,1,0,2
RPUL,Fernando Air Base,13.95499992,121.125,4953,4,0,3
RPMD,Francisco Bangoy International Airport,7.125520229,125.6460037,9842,6,6,3
RPVV,Francisco B. Reyes Airport,12.12150002,120.0999985,3300,0,4,3
RPMB,General Santos International Airport,6.106440067,125.2350006,5577,0,3,3
RPVE,Godofredo P. Ramos Airport,11.92450047,121.9540024,3117,3,4,3
RPVG,Guiuan Airport,11.03549957,125.7419968,7919,0,0,3
RPUI,Iba Airport,15.32475567,119.9694977,2970,1,0,3
RPMI,Iligan Airport,8.130490303,124.2149963,4593,1,0,3
RPVI,Iloilo International Airport,10.83301735,122.4933548,6890,3,4,3
RPMJ,Jolo Airport,6.05366993,121.0110016,4144,2,2,3
RPVK,Kalibo International Airport,11.67940044,122.3759995,7175,3,5,3
RPMO,Labo Airport,8.178509712,123.8420029,5720,1,3,3
RPLI,Laoag International Airport,18.17810059,120.5319977,9120,4,4,3
RPLP,Legazpi City International Airport,13.15750027,123.7350006,7480,4,4,3
RPUG,Lingayen Airport,16.03479958,120.2409973,3422,0,0,3
RPUB,Loakan Airport,16.37509918,120.6200027,5912,1,0,3
RPLU,Lubang Airport,13.85540009,120.1050034,4135,1,0,3
RPSM,Maasin Airport,10.18729973,124.7819977,3642,0,0,3
RPVM,Mactan Cebu International Airport,10.30749989,123.9789963,10827,11,16,3
RP17,Malita Airport,6.402279854,125.6190033,3937,0,0,3
RPUM,Mamburao Airport,13.20810032,120.6050034,4265,1,0,3
RPUW,Marinduque Airport,13.36100006,121.8259964,4785,1,0,3
RPMQ,Mati National Airport,6.949369907,126.2730026,5330,0,0,3
RPVJ,Moises R. Espinosa Airport,12.36940002,123.6289978,4921,2,3,3
RPUN,Naga Airport,13.5848999,123.2699966,4599,3,3,3
RPLL,Ninoy Aquino International Airport,14.50860023,121.0199966,19669,10,44,3
RP13,Nonoc Airport,9.809260368,125.5930023,4265,0,0,3
RPVO,Ormoc Airport,11.05799961,124.5650024,6120,0,0,3
RPMP,Pagadian Airport,7.830731392,123.4611816,5512,2,0,3
RP12,Pagbilao Grande Island Airport,13.90019989,121.7440033,3281,0,0,3
RP15,Pasar Airport,10.91209984,124.4369965,3937,0,0,3
RPLA,Pinamalayan Airport,12.98579979,121.4260025,3937,0,0,3
RPUX,Plaridel Airport,14.89309978,120.8519974,0,2,0,3
RPVP,Puerto Princesa Airport,9.742119789,118.7590027,8530,5,4,3
RPVU,Romblon Airport,12.31099987,122.0849991,4560,1,2,3
RPVR,Roxas Airport,11.59770012,122.7519989,6201,2,2,3
RPUS,San Fernando Airport,16.59560013,120.3030014,3937,3,0,3
RPMN,Sanga Sanga Airport,5.046989918,119.7429962,5100,0,0,3
RPLS,Sangley Point Air Base,14.49540043,120.9039993,7769,1,0,3
RPUH,San Jose Airport,12.36149979,121.0469971,6024,2,4,3
RPNS,Siargao Airport,9.859100342,126.0139999,4167,0,0,3
RPVD,Sibulan Airport,9.333709717,123.3000031,6136,2,2,3
RPLB,Subic Bay International Airport,14.79440022,120.2710037,9003,8,0,3
RPMS,Surigao Airport,9.755838394,125.4809494,5603,2,3,3
RPVT,Tagbilaran Airport,9.664079666,123.8529968,5837,1,4,3
RPMR,Tambler Airport,6.058000088,125.0960007,10587,5,0,3
RPMW,Tandag Airport,9.072110176,126.1709976,4765,2,0,3
RPUT,Tuguegarao Airport,17.64336777,121.7331467,6455,2,3,3
RPUQ,Vigan Airport,17.55529976,120.3560028,3890,1,0,3
RPUV,Virac Airport,13.5763998,124.2060013,5118,2,2,3
RPMZ,Zamboanga International Airport,6.922420025,122.0599976,8560,4,3,3
NSFA,Faleolo International Airport,-13.82999992,-172.0079956,9843,11,7,3
AGGA,Auki Airport,-8.702569962,160.6820068,3100,0,0,1
AGGE,Ballalae Airport,-6.990745068,155.8866577,5413,0,0,1
AGGH,Honiara International Airport,-9.42800045,160.0549927,7218,4,10,3
AGGO,Mono Airport,-7.416940212,155.5650024,3281,0,0,0
AGGM,Munda Airport,-8.327969551,157.2630005,4593,2,0,3
AGGK,Ngorangora Airport,-10.44970036,161.897995,4377,0,0,1
AGGN,Nusatupe Airport,-8.097780228,156.8639984,3609,0,0,3
AGGL,Santa Cruz/Graciosa Bay/Luova Airport,-10.72029972,165.7949982,2999,0,0,1
AGGS,Sege Airport,-8.578889847,157.8760071,3002,0,0,1
AGGV,Suavanao Airport,-7.585559845,158.7310028,2789,0,0,0
AGAT,Uru Harbour Airport,-8.873330116,161.0110016,2769,0,0,1
RCKU,Chiayi Airport,23.46179962,120.3929977,15314,5,0,3
RCQS,Chihhang Air Base,22.79310036,121.1819992,11055,4,0,3
RCAY,Gangshan Air Force Base,22.78249931,120.2630005,15454,2,0,3
RCKW,Hengchun Airport,22.04109955,120.7300034,5577,4,0,3
RCPO,Hsinchu Air Base,24.81800079,120.939003,11955,4,0,3
RCYU,Hualien Airport,24.0230999,121.6179962,27049,7,2,3
RCKH,Kaohsiung International Airport,22.57710075,120.3499985,10335,6,13,3
RCBS,Kinmen Airport,24.42790031,118.3590012,9865,4,4,3
RCLY,Lanyu Airport,22.02700043,121.5350037,3852,2,0,3
RCDI,Longtan Air Base,24.85510063,121.237999,3260,2,0,3
RCGI,Lyudao Airport,22.6739006,121.4660034,3255,3,0,3
RCQC,Makung Airport,23.56870079,119.6279984,9843,7,4,3
RCMT,Matsu Beigan Airport,26.2241993,120.0029984,3773,6,0,3
RCFG,Matsu Nangan Airport,26.15979958,119.9580002,5180,2,0,3
RCSQ,Pingtung North Airport,22.70019913,120.4820023,8012,2,0,3
RCDC,Pingtung South Airport,22.67239952,120.461998,7828,3,0,3
RCNN,Tainan Airport,22.9503994,120.2060013,20014,6,0,3
RCSS,Taipei Songshan Airport,25.06940079,121.552002,8547,13,14,3
RCFN,Taitung Airport,22.75499916,121.1019974,7999,3,2,3
RCTP,Taiwan Taoyuan International Airport,25.07769966,121.2330017,22999,7,49,3
RCGM,Taoyuan Air Base,25.05660057,121.2442627,10044,1,0,3
RCWA,Wang-an Airport,23.36737251,119.5027771,3051,1,0,3
NFTF,Fua'amotu International Airport,-21.24119949,-175.1499939,13746,7,6,3
NFTL,Lifuka Island Airport,-19.77700043,-174.3410034,3937,3,0,3
NFTO,Mata'aho Airport,-15.57079983,-175.6329956,3937,0,0,2
NFTV,Vava'u International Airport,-18.58530045,-173.9620056,5593,3,0,3
NGFU,Funafuti International Airport,-8.524999619,179.1959991,5040,1,0,3
NSFQ,Fitiuta Airport,-14.21720028,-169.4250031,3190,1,0,3
NSAS,Ofu Village Airport,-14.1843996,-169.6699982,2000,0,0,3
NSTU,Pago Pago International Airport,-14.33100033,-170.7100067,13800,6,0,3
PGUA,Andersen Air Force Base,13.58399963,144.9299927,21743,11,0,3
PGUM,Antonio B. Won Pat International Airport,13.48340034,144.7960052,18016,9,14,3
ROTM,Futenma Marine Corps Air Station,26.27429962,127.7559967,9000,7,0,3
RODN,Kadena Air Base,26.35560036,127.7679977,24200,11,0,3
PGSN,Francisco C. Ada Saipan International Airport,15.11900043,145.7290039,8700,6,8,3
TT01,Pagan Airstrip,18.12439919,145.7689972,1500,0,0,1
PGRO,Rota International Airport,14.17430019,145.2429962,6000,4,3,3
PGWT,Tinian International Airport,14.99919987,145.6190033,8600,3,0,3
PHBK,Barking Sands Airport,22.02280045,-159.7850037,6006,6,0,3
PHSF,Bradshaw Army Airfield,19.76009941,-155.5540009,3695,9,0,3
PHDH,Dillingham Airfield,21.5795002,-158.1970062,9007,3,0,3
PHHF,French Frigate Shoals Airport,23.86940002,-166.2850037,3000,0,0,2
HI33,Haiku Airstrip,21.94239998,-159.4400024,2400,0,0,3
PHHN,Hana Airport,20.79560089,-156.0140076,3606,5,0,3
PHTO,Hilo International Airport,19.72139931,-155.0480042,15400,8,6,3
HI25,Kaalaiki Airstrip,19.12280083,-155.5780029,2000,0,0,1
PHOG,Kahului Airport,20.89859962,-156.4299927,11985,10,15,3
PHJR,Kalaeloa (John Rodgers Field) Airport,21.30739975,-158.0700073,18500,6,0,3
PHLU,Kalaupapa Airport,21.21100044,-156.973999,2700,0,0,3
PHNG,Kaneohe Bay MCAS (Marion E. Carl Field) Airport,21.45050049,-157.7680054,7771,9,0,3
PHJH,Kapalua Airport,20.96290016,-156.6730042,3000,3,5,3
PHKO,Kona International At Keahole Airport,19.73880005,-156.0460052,11000,7,15,3
PM64,Kure Airport,28.38920021,-178.2969971,3800,0,0,2
PHNY,Lanai Airport,20.78560066,-156.951004,5001,6,5,3
PHLI,Lihue Airport,21.97599983,-159.3390045,13000,7,12,3
PHMK,Molokai Airport,21.1529007,-157.095993,7612,7,8,3
HI28,Pahala Airstrip,19.21619987,-155.4689941,1650,0,0,1
HI49,Panda Airport,21.14789963,-157.2590027,1920,0,0,1
PHPA,Port Allen Airport,21.89690018,-159.6029968,2450,0,0,3
HI01,Princeville Airport,22.20919991,-159.4459991,3560,3,0,3
PHUP,Upolu Airport,20.26530075,-155.8600006,3800,2,0,3
PHMU,Waimea Kohala Airport,20.00130081,-155.6679993,5197,4,0,3
PHHI,Wheeler Army Airfield,21.48349953,-158.0399933,5604,13,0,3
PWAK,Wake Island Airfield,19.28210068,166.6360016,9843,3,0,3
NVVV,Port Vila Bauerfield Airport,-17.69930077,168.3200073,11840,7,10,3
NVSS,Santo Pekoa International Airport,-15.50500011,167.2200012,6523,3,2,3
NVVW,Tanna Airport,-19.45509911,169.223999,4035,3,0,3
